Predictor,Coefficient,StdErr(cluster),z_value,p_value,q_value(FDR),OddsRatio,OR_CI_low(95%),OR_CI_high(95%)
const,0.15835736110574755,0.17755555415331506,0.8918750070133524,0.3724599322207598,0.7907547689427863,1.1715847987459704,0.8272473587154684,1.6592509195605005
is_home,-0.07159972661542208,0.23194800448667596,-0.3086886941488434,0.757558344865531,0.7907547689427863,0.930903437116537,0.5908353976109161,1.4667049617193952
toss_won,-0.21182420888250614,0.2681866825564026,-0.7898386559069993,0.4296220005021625,0.7907547689427863,0.8091069188749532,0.47832249096141033,1.3686456701115814
team_bats_first,-0.09390981927782889,0.16929469096424268,-0.5547121338711319,0.5790915753257853,0.7907547689427863,0.9103648558992228,0.6532943970407972,1.2685921915302416
toss_won_bat_first,0.0028237277091189687,0.009960758258218667,0.28348521627749557,0.7768049127638579,0.7907547689427863,1.0028277181833267,0.9834393028849301,1.022598374303989
form_rate,-0.005230248699178647,0.017194318280721637,-0.3041847087966744,0.7609871738334903,0.7907547689427863,0.9947834052366838,0.9618169640021128,1.028879776892892
form_diff,0.4316929341907305,0.389747901311753,1.1076209332694427,0.26802555902533687,0.7907547689427863,1.539862203523657,0.7173345484886123,3.3055366019058754
home_toss_won,-0.45397501521280686,0.23373871326659618,-1.9422328841821552,0.052108913833604165,0.43748082143566913,0.6350986008510919,0.40167864796360386,1.0041614978736986
home_toss_bat_first,-0.0010053641022810993,0.0037890992629699112,-0.2653306320334007,0.7907547689427863,0.7907547689427863,0.9989951411068874,0.9916034509360319,1.0064419310089212
is_home_x_toss_won,0.929924691960748,0.5185342025092434,1.7933719462684259,0.07291347023927819,0.43748082143566913,2.5343183158880236,0.917225116069098,7.002391467180078
elo_diff,0.002094058112098863,0.001368297100120732,1.5304118615131854,0.12591481478517674,0.503659259140707,1.002096252183024,0.9994123685189094,1.0047873433139956
venue_win_rate,0.02215983566908409,0.07234583859509136,0.3063042201101478,0.7593730263623086,0.7907547689427863,1.0224071885482482,0.8872415529572752,1.1781644533114761
